id,work_area_id,item_name,item_code,category,unit,planned_quantity,actual_quantity,notes
,wa_jtaq600,Gr-B-2E,602-6-7,traffic_safety,m,2196.0,,starter_from_design=351-import-v1; target_quantity=2196.0
,wa_jtaq600,纵向振动减速标线,605-1-6,traffic_safety,m2,342.0,,starter_from_design=351-import-v1; target_quantity=342.0
,wa_jtaq600,彩色防滑涂料标线,605-1-7,traffic_safety,m2,3375.0,,starter_from_design=351-import-v1; target_quantity=3375.0
,wa_jtaq600,渠化标线,605-1-8,traffic_safety,m2,199.0,,starter_from_design=351-import-v1; target_quantity=199.0
,wa_jtaq600,导向箭头,605-1-9,traffic_safety,m2,138.0,,starter_from_design=351-import-v1; target_quantity=138.0
,wa_jtaq600,停止线,605-1-10,traffic_safety,m2,44.0,,starter_from_design=351-import-v1; target_quantity=44.0
,wa_jtaq600,让行标线,605-1-11,traffic_safety,m2,10.0,,starter_from_design=351-import-v1; target_quantity=10.0
,wa_jtaq600,De-Rbw/y-E,605-7-1-1,traffic_safety,根,69.0,,starter_from_design=351-import-v1; target_quantity=69.0
,wa_jtaq600,De-Rbw/y-At1,605-7-2-1,traffic_safety,个,362.0,,starter_from_design=351-import-v1; target_quantity=362.0
,wa_jtaq600,De-Rbw/y-At2,605-7-2-2,traffic_safety,个,80.0,,starter_from_design=351-import-v1; target_quantity=80.0
,wa_jtaq600,De-Rbw/y-At3,605-7-2-3,traffic_safety,个,256.0,,starter_from_design=351-import-v1; target_quantity=256.0
,wa_jtaq600,LDS线型轮廓标,605-7-2-4,traffic_safety,个,177.0,,starter_from_design=351-import-v1; target_quantity=177.0
,wa_jtaq600,反光轮廓带,605-7-6-1,traffic_safety,只,1260.0,,starter_from_design=351-import-v1; target_quantity=1260.0
,wa_jtaq600,道口标柱,605-7-9,traffic_safety,个,28.0,,starter_from_design=351-import-v1; target_quantity=28.0
,wa_jtaq600,立面标记,605-8-1,traffic_safety,㎡,12.0,,starter_from_design=351-import-v1; target_quantity=12.0
,wa_jtaq600,橡胶减速带,605-10-1,traffic_safety,m,30.0,,starter_from_design=351-import-v1; target_quantity=30.0
,wa_jtaq600,防眩板,606-1,traffic_safety,块,482.0,,starter_from_design=351-import-v1; target_quantity=482.0
,wa_jtaq600,洞口电光蓄能自发光标识,607-2-10,traffic_safety,只,120.0,,starter_from_design=351-import-v1; target_quantity=120.0
,wa_jtaq600,蓄能自发光突起路标,607-2-11,traffic_safety,只,1550.0,,starter_from_design=351-import-v1; target_quantity=1550.0
,wa_jtaq600,十字路口信号灯（含电子警察）（K7+530下新线交叉口）,609-1-1,traffic_safety,路口,1.0,,starter_from_design=351-import-v1; target_quantity=1.0
,wa_jtaq600,机动车信号灯杆部件（L＝9m）,1,traffic_safety,套,2.0,,starter_from_design=351-import-v1; target_quantity=2.0
,wa_jtaq600,机动车信号灯杆部件（L＝6m）,2,traffic_safety,套,2.0,,starter_from_design=351-import-v1; target_quantity=2.0
,wa_jtaq600,路口信号灯控制主机及机柜,4,traffic_safety,套,1.0,,starter_from_design=351-import-v1; target_quantity=1.0
,wa_jtaq600,满屏信号灯盘,6,traffic_safety,套,4.0,,starter_from_design=351-import-v1; target_quantity=4.0
,wa_jtaq600,箭头信号灯盘,7,traffic_safety,套,4.0,,starter_from_design=351-import-v1; target_quantity=4.0
,wa_jtaq600,人行横道灯盘,8,traffic_safety,套,12.0,,starter_from_design=351-import-v1; target_quantity=12.0
,wa_jtaq600,柱式人行横道灯杆部件,9,traffic_safety,套,12.0,,starter_from_design=351-import-v1; target_quantity=12.0
,wa_jtaq600,电缆线,10,traffic_safety,m,800.0,,starter_from_design=351-import-v1; target_quantity=800.0
,wa_jtaq600,电源线,11,traffic_safety,m,300.0,,starter_from_design=351-import-v1; target_quantity=300.0
,wa_jtaq600,避雷接地,12,traffic_safety,处,17.0,,starter_from_design=351-import-v1; target_quantity=17.0
,wa_jtaq600,接地线,13,traffic_safety,m,300.0,,starter_from_design=351-import-v1; target_quantity=300.0
,wa_jtaq600,2Φ114钢管预埋,14,traffic_safety,m,160.0,,starter_from_design=351-import-v1; target_quantity=160.0
,wa_jtaq600,窨井,15,traffic_safety,个,17.0,,starter_from_design=351-import-v1; target_quantity=17.0
,wa_jtaq600,安装辅材,16,traffic_safety,批,1.0,,starter_from_design=351-import-v1; target_quantity=1.0
,wa_jtaq600,安装调试,17,traffic_safety,路口,1.0,,starter_from_design=351-import-v1; target_quantity=1.0
,wa_jtaq600,T字路口信号灯（含电子警察）（K7+796南下线交叉口）,609-1-2,traffic_safety,路口,1.0,,starter_from_design=351-import-v1; target_quantity=1.0
,wa_jtaq600,机动车信号灯杆部件（L＝9m）,1,traffic_safety,套,2.0,,starter_from_design=351-import-v1; target_quantity=2.0
,wa_jtaq600,机动车信号灯杆部件（L＝6m）,2,traffic_safety,套,1.0,,starter_from_design=351-import-v1; target_quantity=1.0
,wa_jtaq600,路口信号灯控制主机及机柜,3,traffic_safety,套,1.0,,starter_from_design=351-import-v1; target_quantity=1.0
,wa_jtaq600,路口自适应软件,4,traffic_safety,套,1.0,,starter_from_design=351-import-v1; target_quantity=1.0
,wa_jtaq600,满屏信号灯盘,5,traffic_safety,套,3.0,,starter_from_design=351-import-v1; target_quantity=3.0
,wa_jtaq600,人行横道灯盘,6,traffic_safety,套,12.0,,starter_from_design=351-import-v1; target_quantity=12.0
,wa_jtaq600,柱式人行横道灯杆部件,7,traffic_safety,套,12.0,,starter_from_design=351-import-v1; target_quantity=12.0
,wa_jtaq600,电缆线,8,traffic_safety,m,500.0,,starter_from_design=351-import-v1; target_quantity=500.0
,wa_jtaq600,电源线,9,traffic_safety,m,300.0,,starter_from_design=351-import-v1; target_quantity=300.0
,wa_jtaq600,避雷接地,10,traffic_safety,处,16.0,,starter_from_design=351-import-v1; target_quantity=16.0
,wa_jtaq600,接地线,11,traffic_safety,m,300.0,,starter_from_design=351-import-v1; target_quantity=300.0
,wa_jtaq600,2Φ114钢管预埋,12,traffic_safety,m,110.0,,starter_from_design=351-import-v1; target_quantity=110.0
,wa_jtaq600,2Φ110PE管预埋,13,traffic_safety,m,120.0,,starter_from_design=351-import-v1; target_quantity=120.0
,wa_jtaq600,窨井,14,traffic_safety,个,13.0,,starter_from_design=351-import-v1; target_quantity=13.0
,wa_jtaq600,安装辅材,15,traffic_safety,批,1.0,,starter_from_design=351-import-v1; target_quantity=1.0
,wa_jtaq600,安装调试,16,traffic_safety,路口,1.0,,starter_from_design=351-import-v1; target_quantity=1.0
,wa_jtaq600,电子档案,609-2,traffic_safety,km,4.2,,starter_from_design=351-import-v1; target_quantity=4.2
