id,work_area_id,item_name,item_code,category,unit,target_quantity,design_version,notes
,wa_paving_ch300,厚150mm,302-1-3,paving,m2,9254.0,351-import-v1,source_file=300章路面.xlsx; sheet=300章; source_column=数量; row=5
,wa_paving_ch300,C30混凝土,309-4-2-3,paving,m,2925.0,351-import-v1,source_file=300章路面.xlsx; sheet=300章; source_column=数量; row=45
,wa_paving_ch300,D300mm,310-1-1-2,paving,m,198.0,351-import-v1,source_file=300章路面.xlsx; sheet=300章; source_column=数量; row=49
,wa_paving_ch300,D110mm,310-1-2-4,paving,m,368.0,351-import-v1,source_file=300章路面.xlsx; sheet=300章; source_column=数量; row=51
,wa_paving_ch300,D300Ⅱ级钢筋砼雨水管,310-2-2-1,paving,m,174.0,351-import-v1,source_file=300章路面.xlsx; sheet=300章; source_column=数量; row=54
,wa_paving_ch300,D600Ⅱ级钢筋砼雨水管,310-2-2-2,paving,m,466.52,351-import-v1,source_file=300章路面.xlsx; sheet=300章; source_column=数量; row=55
,wa_paving_ch300,D800Ⅱ级钢筋砼雨水管,310-2-2-3,paving,m,100.01,351-import-v1,source_file=300章路面.xlsx; sheet=300章; source_column=数量; row=56
,wa_paving_ch300,球墨铸铁给水管（DN200),310-2-3-2,paving,m,100.0,351-import-v1,source_file=300章路面.xlsx; sheet=300章; source_column=数量; row=58
,wa_paving_ch300,中央分隔带渗沟,310-3,paving,m,1905.0,351-import-v1,source_file=300章路面.xlsx; sheet=300章; source_column=数量; row=59
,wa_paving_ch300,集水井,310-4,paving,座,10.0,351-import-v1,source_file=300章路面.xlsx; sheet=300章; source_column=数量; row=60
,wa_paving_ch300,矩形钢筋砼（内空1.1×1.1m）,310-5-1,paving,座,15.0,351-import-v1,source_file=300章路面.xlsx; sheet=300章; source_column=数量; row=62
,wa_paving_ch300,矩形钢筋砼（内空1.25×1.25m）,310-5-2,paving,座,4.0,351-import-v1,source_file=300章路面.xlsx; sheet=300章; source_column=数量; row=63
,wa_paving_ch300,砖砌单篦雨水口,310-10-1,paving,座,32.0,351-import-v1,source_file=300章路面.xlsx; sheet=300章; source_column=数量; row=65
,wa_paving_ch300,砂砾（碎石）透水层,310-13-1,paving,m2,650.8,351-import-v1,source_file=300章路面.xlsx; sheet=300章; source_column=数量; row=67
,wa_paving_ch300,透水土工布,310-13-2,paving,m2,5620.0,351-import-v1,source_file=300章路面.xlsx; sheet=300章; source_column=数量; row=68
,wa_paving_ch300,防渗土工布,310-13-5,paving,m2,5676.4,351-import-v1,source_file=300章路面.xlsx; sheet=300章; source_column=数量; row=69
,wa_paving_ch300,流水槽,310-15,paving,m,788.0,351-import-v1,source_file=300章路面.xlsx; sheet=300章; source_column=数量; row=70
,wa_paving_ch300,急流槽,310-16,paving,m,24.7,351-import-v1,source_file=300章路面.xlsx; sheet=300章; source_column=数量; row=71
,wa_traffic_safety_ch600,Gr-B-2E,602-6-7,traffic_safety,m,2196.0,351-import-v1,source_file=600章交通安全设施.xlsm; sheet=600章; source_column=数量; row=5
,wa_traffic_safety_ch600,Gr-A-4E,602-6-13,traffic_safety,m,673.0,351-import-v1,source_file=600章交通安全设施.xlsm; sheet=600章; source_column=数量; row=6
,wa_traffic_safety_ch600,Gr-SB-2E,602-6-19,traffic_safety,m,4556.0,351-import-v1,source_file=600章交通安全设施.xlsm; sheet=600章; source_column=数量; row=7
,wa_traffic_safety_ch600,Gr-SBm-1B1,602-6-20,traffic_safety,m,460.0,351-import-v1,source_file=600章交通安全设施.xlsm; sheet=600章; source_column=数量; row=8
,wa_traffic_safety_ch600,A级护栏与砼护栏搭接段（含3m翼墙）,602-6-21,traffic_safety,m,14.0,351-import-v1,source_file=600章交通安全设施.xlsm; sheet=600章; source_column=数量; row=9
,wa_traffic_safety_ch600,SB级护栏与砼护栏搭接段（含3m翼墙）,602-6-22,traffic_safety,m,350.0,351-import-v1,source_file=600章交通安全设施.xlsm; sheet=600章; source_column=数量; row=10
,wa_traffic_safety_ch600,SB级护栏隧道入口过渡段（含6m翼墙）,602-6-23,traffic_safety,m,126.0,351-import-v1,source_file=600章交通安全设施.xlsm; sheet=600章; source_column=数量; row=11
,wa_traffic_safety_ch600,A级护栏上游端部,602-6-24,traffic_safety,m,60.0,351-import-v1,source_file=600章交通安全设施.xlsm; sheet=600章; source_column=数量; row=12
,wa_traffic_safety_ch600,B级护栏上游端部,602-6-25,traffic_safety,m,84.0,351-import-v1,source_file=600章交通安全设施.xlsm; sheet=600章; source_column=数量; row=13
,wa_traffic_safety_ch600,SB级护栏上游端部,602-6-26,traffic_safety,m,156.0,351-import-v1,source_file=600章交通安全设施.xlsm; sheet=600章; source_column=数量; row=14
,wa_traffic_safety_ch600,TA级防撞垫,602-6-27,traffic_safety,个,1.0,351-import-v1,source_file=600章交通安全设施.xlsm; sheet=600章; source_column=数量; row=15
,wa_traffic_safety_ch600,Gr-SBm-2E,602-7-13,traffic_safety,m,624.0,351-import-v1,source_file=600章交通安全设施.xlsm; sheet=600章; source_column=数量; row=17
,wa_traffic_safety_ch600,易开型活动护栏,602-7-15,traffic_safety,m,80.0,351-import-v1,source_file=600章交通安全设施.xlsm; sheet=600章; source_column=数量; row=18
,wa_traffic_safety_ch600,D-I端头,602-8-5,traffic_safety,个,34.0,351-import-v1,source_file=600章交通安全设施.xlsm; sheet=600章; source_column=数量; row=20
,wa_traffic_safety_ch600,A型端头,602-8-6,traffic_safety,个,47.0,351-import-v1,source_file=600章交通安全设施.xlsm; sheet=600章; source_column=数量; row=21
,wa_traffic_safety_ch600,B型端头,602-8-7,traffic_safety,个,3.0,351-import-v1,source_file=600章交通安全设施.xlsm; sheet=600章; source_column=数量; row=22
,wa_traffic_safety_ch600,Φ89，停800mm,604-1-1,traffic_safety,套,2.0,351-import-v1,source_file=600章交通安全设施.xlsm; sheet=600章; source_column=数量; row=25
,wa_traffic_safety_ch600,Φ89，Δ900mm+○800mm,604-1-2,traffic_safety,套,2.0,351-import-v1,source_file=600章交通安全设施.xlsm; sheet=600章; source_column=数量; row=26
,wa_traffic_safety_ch600,Φ89，○1000mm,604-1-3,traffic_safety,套,6.0,351-import-v1,source_file=600章交通安全设施.xlsm; sheet=600章; source_column=数量; row=27
,wa_traffic_safety_ch600,Φ89，1200mmX600mm,604-1-4,traffic_safety,套,1.0,351-import-v1,source_file=600章交通安全设施.xlsm; sheet=600章; source_column=数量; row=28
,wa_traffic_safety_ch600,Φ89，Δ1100mm,604-1-5,traffic_safety,套,1.0,351-import-v1,source_file=600章交通安全设施.xlsm; sheet=600章; source_column=数量; row=29
,wa_traffic_safety_ch600,Φ89，Δ900mm+Δ900mm,604-1-6,traffic_safety,套,4.0,351-import-v1,source_file=600章交通安全设施.xlsm; sheet=600章; source_column=数量; row=30
,wa_traffic_safety_ch600,Φ89，线型诱导标600mmx800mm,604-1-7,traffic_safety,套,16.0,351-import-v1,source_file=600章交通安全设施.xlsm; sheet=600章; source_column=数量; row=31
,wa_traffic_safety_ch600,Φ89，线型诱导标600mmx800mmx2,604-1-8,traffic_safety,套,16.0,351-import-v1,source_file=600章交通安全设施.xlsm; sheet=600章; source_column=数量; row=32
,wa_traffic_safety_ch600,Φ114，○1000+○1000mm,604-1-9,traffic_safety,套,7.0,351-import-v1,source_file=600章交通安全设施.xlsm; sheet=600章; source_column=数量; row=33
,wa_traffic_safety_ch600,Φ114，○1000+1200mX800mm,604-1-10,traffic_safety,套,2.0,351-import-v1,source_file=600章交通安全设施.xlsm; sheet=600章; source_column=数量; row=34
,wa_traffic_safety_ch600,Φ114，1200mX1500mm,604-1-11,traffic_safety,套,1.0,351-import-v1,source_file=600章交通安全设施.xlsm; sheet=600章; source_column=数量; row=35
,wa_traffic_safety_ch600,4000mmX2400mm+3000mmX2300mmX3,604-4-1,traffic_safety,套,2.0,351-import-v1,source_file=600章交通安全设施.xlsm; sheet=600章; source_column=数量; row=37
,wa_traffic_safety_ch600,○1000mmx3,604-4-2,traffic_safety,套,1.0,351-import-v1,source_file=600章交通安全设施.xlsm; sheet=600章; source_column=数量; row=38
,wa_traffic_safety_ch600,3000mmX2300mmX3,604-4-3,traffic_safety,套,1.0,351-import-v1,source_file=600章交通安全设施.xlsm; sheet=600章; source_column=数量; row=39
,wa_traffic_safety_ch600,Φ168，○1000mm,604-5-1,traffic_safety,套,2.0,351-import-v1,source_file=600章交通安全设施.xlsm; sheet=600章; source_column=数量; row=41
,wa_traffic_safety_ch600,Φ168，○1000mm+○1000mm,604-5-2,traffic_safety,套,4.0,351-import-v1,source_file=600章交通安全设施.xlsm; sheet=600章; source_column=数量; row=42
,wa_traffic_safety_ch600,Φ219，3000mmX1800mm,604-5-3,traffic_safety,套,13.0,351-import-v1,source_file=600章交通安全设施.xlsm; sheet=600章; source_column=数量; row=43
,wa_traffic_safety_ch600,Φ273，4000mmX1800mm,604-5-4,traffic_safety,套,1.0,351-import-v1,source_file=600章交通安全设施.xlsm; sheet=600章; source_column=数量; row=44
,wa_traffic_safety_ch600,Φ325，4000mmX2400mm,604-5-5,traffic_safety,套,8.0,351-import-v1,source_file=600章交通安全设施.xlsm; sheet=600章; source_column=数量; row=45
,wa_traffic_safety_ch600,Φ377，5000mmX3000mm,604-5-6,traffic_safety,套,6.0,351-import-v1,source_file=600章交通安全设施.xlsm; sheet=600章; source_column=数量; row=46
,wa_traffic_safety_ch600,Φ273，3000mmX2000mmX2,604-6-1,traffic_safety,套,1.0,351-import-v1,source_file=600章交通安全设施.xlsm; sheet=600章; source_column=数量; row=48
,wa_traffic_safety_ch600,530mmX340mm,604-7-1,traffic_safety,套,7.0,351-import-v1,source_file=600章交通安全设施.xlsm; sheet=600章; source_column=数量; row=50
,wa_traffic_safety_ch600,1400mmX700mmX2,604-7-2,traffic_safety,套,3.0,351-import-v1,source_file=600章交通安全设施.xlsm; sheet=600章; source_column=数量; row=51
,wa_traffic_safety_ch600,里程碑,604-8-1,traffic_safety,个,2.0,351-import-v1,source_file=600章交通安全设施.xlsm; sheet=600章; source_column=数量; row=53
,wa_traffic_safety_ch600,里程牌,604-8-2,traffic_safety,个,4.0,351-import-v1,source_file=600章交通安全设施.xlsm; sheet=600章; source_column=数量; row=54
,wa_traffic_safety_ch600,公路界碑,604-9,traffic_safety,个,25.0,351-import-v1,source_file=600章交通安全设施.xlsm; sheet=600章; source_column=数量; row=55
,wa_traffic_safety_ch600,百米桩,604-10-1,traffic_safety,个,30.0,351-import-v1,source_file=600章交通安全设施.xlsm; sheet=600章; source_column=数量; row=57
,wa_traffic_safety_ch600,百米牌,604-10-2,traffic_safety,个,28.0,351-import-v1,source_file=600章交通安全设施.xlsm; sheet=600章; source_column=数量; row=58
,wa_traffic_safety_ch600,防撞桶,604-11,traffic_safety,个,30.0,351-import-v1,source_file=600章交通安全设施.xlsm; sheet=600章; source_column=数量; row=59
,wa_traffic_safety_ch600,道路反光镜,604-13,traffic_safety,个,1.0,351-import-v1,source_file=600章交通安全设施.xlsm; sheet=600章; source_column=数量; row=60
,wa_traffic_safety_ch600,水马,604-14,traffic_safety,m,500.0,351-import-v1,source_file=600章交通安全设施.xlsm; sheet=600章; source_column=数量; row=61
,wa_traffic_safety_ch600,普通型,605-1-1,traffic_safety,m2,1464.0,351-import-v1,source_file=600章交通安全设施.xlsm; sheet=600章; source_column=数量; row=64
,wa_traffic_safety_ch600,震颤标线,605-1-3,traffic_safety,m2,1550.0,351-import-v1,source_file=600章交通安全设施.xlsm; sheet=600章; source_column=数量; row=65
,wa_traffic_safety_ch600,热熔雨夜标线,605-1-4,traffic_safety,m2,1550.0,351-import-v1,source_file=600章交通安全设施.xlsm; sheet=600章; source_column=数量; row=66
,wa_traffic_safety_ch600,人行横道线及预告标识,605-1-5,traffic_safety,m2,643.0,351-import-v1,source_file=600章交通安全设施.xlsm; sheet=600章; source_column=数量; row=67
,wa_traffic_safety_ch600,纵向振动减速标线,605-1-6,traffic_safety,m2,342.0,351-import-v1,source_file=600章交通安全设施.xlsm; sheet=600章; source_column=数量; row=68
,wa_traffic_safety_ch600,彩色防滑涂料标线,605-1-7,traffic_safety,m2,3375.0,351-import-v1,source_file=600章交通安全设施.xlsm; sheet=600章; source_column=数量; row=69
,wa_traffic_safety_ch600,渠化标线,605-1-8,traffic_safety,m2,199.0,351-import-v1,source_file=600章交通安全设施.xlsm; sheet=600章; source_column=数量; row=70
,wa_traffic_safety_ch600,导向箭头,605-1-9,traffic_safety,m2,138.0,351-import-v1,source_file=600章交通安全设施.xlsm; sheet=600章; source_column=数量; row=71
,wa_traffic_safety_ch600,停止线,605-1-10,traffic_safety,m2,44.0,351-import-v1,source_file=600章交通安全设施.xlsm; sheet=600章; source_column=数量; row=72
,wa_traffic_safety_ch600,让行标线,605-1-11,traffic_safety,m2,10.0,351-import-v1,source_file=600章交通安全设施.xlsm; sheet=600章; source_column=数量; row=73
,wa_traffic_safety_ch600,De-Rbw/y-E,605-7-1-1,traffic_safety,根,69.0,351-import-v1,source_file=600章交通安全设施.xlsm; sheet=600章; source_column=数量; row=76
,wa_traffic_safety_ch600,De-Rbw/y-At1,605-7-2-1,traffic_safety,个,362.0,351-import-v1,source_file=600章交通安全设施.xlsm; sheet=600章; source_column=数量; row=78
,wa_traffic_safety_ch600,De-Rbw/y-At2,605-7-2-2,traffic_safety,个,80.0,351-import-v1,source_file=600章交通安全设施.xlsm; sheet=600章; source_column=数量; row=79
,wa_traffic_safety_ch600,De-Rbw/y-At3,605-7-2-3,traffic_safety,个,256.0,351-import-v1,source_file=600章交通安全设施.xlsm; sheet=600章; source_column=数量; row=80
,wa_traffic_safety_ch600,LDS线型轮廓标,605-7-2-4,traffic_safety,个,177.0,351-import-v1,source_file=600章交通安全设施.xlsm; sheet=600章; source_column=数量; row=81
,wa_traffic_safety_ch600,反光轮廓带,605-7-6-1,traffic_safety,只,1260.0,351-import-v1,source_file=600章交通安全设施.xlsm; sheet=600章; source_column=数量; row=83
,wa_traffic_safety_ch600,道口标柱,605-7-9,traffic_safety,个,28.0,351-import-v1,source_file=600章交通安全设施.xlsm; sheet=600章; source_column=数量; row=84
,wa_traffic_safety_ch600,立面标记,605-8-1,traffic_safety,㎡,12.0,351-import-v1,source_file=600章交通安全设施.xlsm; sheet=600章; source_column=数量; row=86
,wa_traffic_safety_ch600,橡胶减速带,605-10-1,traffic_safety,m,30.0,351-import-v1,source_file=600章交通安全设施.xlsm; sheet=600章; source_column=数量; row=88
,wa_traffic_safety_ch600,防眩板,606-1,traffic_safety,块,482.0,351-import-v1,source_file=600章交通安全设施.xlsm; sheet=600章; source_column=数量; row=90
,wa_traffic_safety_ch600,洞口电光蓄能自发光标识,607-2-10,traffic_safety,只,120.0,351-import-v1,source_file=600章交通安全设施.xlsm; sheet=600章; source_column=数量; row=93
,wa_traffic_safety_ch600,蓄能自发光突起路标,607-2-11,traffic_safety,只,1550.0,351-import-v1,source_file=600章交通安全设施.xlsm; sheet=600章; source_column=数量; row=94
,wa_traffic_safety_ch600,十字路口信号灯（含电子警察）（K7+530下新线交叉口）,609-1-1,traffic_safety,路口,1.0,351-import-v1,source_file=600章交通安全设施.xlsm; sheet=600章; source_column=数量; row=96
,wa_traffic_safety_ch600,机动车信号灯杆部件（L＝9m）,1,traffic_safety,套,2.0,351-import-v1,source_file=600章交通安全设施.xlsm; sheet=600章; source_column=数量; row=97
,wa_traffic_safety_ch600,机动车信号灯杆部件（L＝6m）,2,traffic_safety,套,2.0,351-import-v1,source_file=600章交通安全设施.xlsm; sheet=600章; source_column=数量; row=98
,wa_traffic_safety_ch600,路口信号灯控制主机及机柜,4,traffic_safety,套,1.0,351-import-v1,source_file=600章交通安全设施.xlsm; sheet=600章; source_column=数量; row=99
,wa_traffic_safety_ch600,满屏信号灯盘,6,traffic_safety,套,4.0,351-import-v1,source_file=600章交通安全设施.xlsm; sheet=600章; source_column=数量; row=100
,wa_traffic_safety_ch600,箭头信号灯盘,7,traffic_safety,套,4.0,351-import-v1,source_file=600章交通安全设施.xlsm; sheet=600章; source_column=数量; row=101
,wa_traffic_safety_ch600,人行横道灯盘,8,traffic_safety,套,12.0,351-import-v1,source_file=600章交通安全设施.xlsm; sheet=600章; source_column=数量; row=102
,wa_traffic_safety_ch600,柱式人行横道灯杆部件,9,traffic_safety,套,12.0,351-import-v1,source_file=600章交通安全设施.xlsm; sheet=600章; source_column=数量; row=103
,wa_traffic_safety_ch600,电缆线,10,traffic_safety,m,800.0,351-import-v1,source_file=600章交通安全设施.xlsm; sheet=600章; source_column=数量; row=104
,wa_traffic_safety_ch600,电源线,11,traffic_safety,m,300.0,351-import-v1,source_file=600章交通安全设施.xlsm; sheet=600章; source_column=数量; row=105
,wa_traffic_safety_ch600,避雷接地,12,traffic_safety,处,17.0,351-import-v1,source_file=600章交通安全设施.xlsm; sheet=600章; source_column=数量; row=106
,wa_traffic_safety_ch600,接地线,13,traffic_safety,m,300.0,351-import-v1,source_file=600章交通安全设施.xlsm; sheet=600章; source_column=数量; row=107
,wa_traffic_safety_ch600,2Φ114钢管预埋,14,traffic_safety,m,160.0,351-import-v1,source_file=600章交通安全设施.xlsm; sheet=600章; source_column=数量; row=108
,wa_traffic_safety_ch600,窨井,15,traffic_safety,个,17.0,351-import-v1,source_file=600章交通安全设施.xlsm; sheet=600章; source_column=数量; row=110
,wa_traffic_safety_ch600,安装辅材,16,traffic_safety,批,1.0,351-import-v1,source_file=600章交通安全设施.xlsm; sheet=600章; source_column=数量; row=111
,wa_traffic_safety_ch600,安装调试,17,traffic_safety,路口,1.0,351-import-v1,source_file=600章交通安全设施.xlsm; sheet=600章; source_column=数量; row=112
,wa_traffic_safety_ch600,T字路口信号灯（含电子警察）（K7+796南下线交叉口）,609-1-2,traffic_safety,路口,1.0,351-import-v1,source_file=600章交通安全设施.xlsm; sheet=600章; source_column=数量; row=133
,wa_traffic_safety_ch600,机动车信号灯杆部件（L＝9m）,1,traffic_safety,套,2.0,351-import-v1,source_file=600章交通安全设施.xlsm; sheet=600章; source_column=数量; row=134
,wa_traffic_safety_ch600,机动车信号灯杆部件（L＝6m）,2,traffic_safety,套,1.0,351-import-v1,source_file=600章交通安全设施.xlsm; sheet=600章; source_column=数量; row=135
,wa_traffic_safety_ch600,路口信号灯控制主机及机柜,3,traffic_safety,套,1.0,351-import-v1,source_file=600章交通安全设施.xlsm; sheet=600章; source_column=数量; row=136
,wa_traffic_safety_ch600,路口自适应软件,4,traffic_safety,套,1.0,351-import-v1,source_file=600章交通安全设施.xlsm; sheet=600章; source_column=数量; row=137
,wa_traffic_safety_ch600,满屏信号灯盘,5,traffic_safety,套,3.0,351-import-v1,source_file=600章交通安全设施.xlsm; sheet=600章; source_column=数量; row=138
,wa_traffic_safety_ch600,人行横道灯盘,6,traffic_safety,套,12.0,351-import-v1,source_file=600章交通安全设施.xlsm; sheet=600章; source_column=数量; row=139
,wa_traffic_safety_ch600,柱式人行横道灯杆部件,7,traffic_safety,套,12.0,351-import-v1,source_file=600章交通安全设施.xlsm; sheet=600章; source_column=数量; row=140
,wa_traffic_safety_ch600,电缆线,8,traffic_safety,m,500.0,351-import-v1,source_file=600章交通安全设施.xlsm; sheet=600章; source_column=数量; row=141
,wa_traffic_safety_ch600,电源线,9,traffic_safety,m,300.0,351-import-v1,source_file=600章交通安全设施.xlsm; sheet=600章; source_column=数量; row=142
,wa_traffic_safety_ch600,避雷接地,10,traffic_safety,处,16.0,351-import-v1,source_file=600章交通安全设施.xlsm; sheet=600章; source_column=数量; row=143
,wa_traffic_safety_ch600,接地线,11,traffic_safety,m,300.0,351-import-v1,source_file=600章交通安全设施.xlsm; sheet=600章; source_column=数量; row=144
,wa_traffic_safety_ch600,2Φ114钢管预埋,12,traffic_safety,m,110.0,351-import-v1,source_file=600章交通安全设施.xlsm; sheet=600章; source_column=数量; row=145
,wa_traffic_safety_ch600,2Φ110PE管预埋,13,traffic_safety,m,120.0,351-import-v1,source_file=600章交通安全设施.xlsm; sheet=600章; source_column=数量; row=146
,wa_traffic_safety_ch600,窨井,14,traffic_safety,个,13.0,351-import-v1,source_file=600章交通安全设施.xlsm; sheet=600章; source_column=数量; row=147
,wa_traffic_safety_ch600,安装辅材,15,traffic_safety,批,1.0,351-import-v1,source_file=600章交通安全设施.xlsm; sheet=600章; source_column=数量; row=148
,wa_traffic_safety_ch600,安装调试,16,traffic_safety,路口,1.0,351-import-v1,source_file=600章交通安全设施.xlsm; sheet=600章; source_column=数量; row=149
,wa_traffic_safety_ch600,电子档案,609-2,traffic_safety,km,4.2,351-import-v1,source_file=600章交通安全设施.xlsm; sheet=600章; source_column=数量; row=170
,wa_qiqitang_bridge_r,光圆钢筋,403-1-1,bridge,kg,14540.2,351-import-v1,source_file=七秩塘桥\七秩塘桥右幅.xls; sheet=工程量清单; source_column=数量; row=5
,wa_qiqitang_bridge_r,带肋钢筋,403-1-2,bridge,kg,162349.80000000008,351-import-v1,source_file=七秩塘桥\七秩塘桥右幅.xls; sheet=工程量清单; source_column=数量; row=6
,wa_qiqitang_bridge_r,光圆钢筋,403-2-1,bridge,kg,8597.9,351-import-v1,source_file=七秩塘桥\七秩塘桥右幅.xls; sheet=工程量清单; source_column=数量; row=8
,wa_qiqitang_bridge_r,带肋钢筋,403-2-2,bridge,kg,185419.51101600006,351-import-v1,source_file=七秩塘桥\七秩塘桥右幅.xls; sheet=工程量清单; source_column=数量; row=9
,wa_qiqitang_bridge_r,冷轧带肋钢筋焊接网 (台身防裂钢筋网）,403-2-3,bridge,kg,0.0,351-import-v1,source_file=七秩塘桥\七秩塘桥右幅.xls; sheet=工程量清单; source_column=数量; row=10
,wa_qiqitang_bridge_r,光圆钢筋,403-3-1,bridge,kg,89254.20000000001,351-import-v1,source_file=七秩塘桥\七秩塘桥右幅.xls; sheet=工程量清单; source_column=数量; row=12
,wa_qiqitang_bridge_r,带肋钢筋,403-3-2,bridge,kg,386827.0,351-import-v1,source_file=七秩塘桥\七秩塘桥右幅.xls; sheet=工程量清单; source_column=数量; row=13
,wa_qiqitang_bridge_r,D10冷轧钢筋焊接网,403-3-3-2,bridge,kg,44424.0,351-import-v1,source_file=七秩塘桥\七秩塘桥右幅.xls; sheet=工程量清单; source_column=数量; row=15
,wa_qiqitang_bridge_r,光圆钢筋,403-4-1,bridge,kg,13300.8,351-import-v1,source_file=七秩塘桥\七秩塘桥右幅.xls; sheet=工程量清单; source_column=数量; row=17
,wa_qiqitang_bridge_r,带肋钢筋,403-4-2,bridge,kg,61457.17,351-import-v1,source_file=七秩塘桥\七秩塘桥右幅.xls; sheet=工程量清单; source_column=数量; row=18
,wa_qiqitang_bridge_r,基础挖方及回填,404-1,bridge,m3,279.0,351-import-v1,source_file=七秩塘桥\七秩塘桥右幅.xls; sheet=工程量清单; source_column=数量; row=20
,wa_qiqitang_bridge_r,桩径1.2m,405-3-4,bridge,m,0.0,351-import-v1,source_file=七秩塘桥\七秩塘桥右幅.xls; sheet=工程量清单; source_column=数量; row=23
,wa_qiqitang_bridge_r,桩径1.3m,405-3-5,bridge,m,0.0,351-import-v1,source_file=七秩塘桥\七秩塘桥右幅.xls; sheet=工程量清单; source_column=数量; row=24
,wa_qiqitang_bridge_r,桩径1.5m,405-3-7,bridge,m,262.5,351-import-v1,source_file=七秩塘桥\七秩塘桥右幅.xls; sheet=工程量清单; source_column=数量; row=25
,wa_qiqitang_bridge_r,桩径1.8m,405-3-10,bridge,m,561.0,351-import-v1,source_file=七秩塘桥\七秩塘桥右幅.xls; sheet=工程量清单; source_column=数量; row=26
,wa_qiqitang_bridge_r,声测管,405-4,bridge,m,3085.5,351-import-v1,source_file=七秩塘桥\七秩塘桥右幅.xls; sheet=工程量清单; source_column=数量; row=27
,wa_qiqitang_bridge_r,C30混凝土,410-1-4,bridge,m3,230.64999999999998,351-import-v1,source_file=七秩塘桥\七秩塘桥右幅.xls; sheet=工程量清单; source_column=数量; row=30
,wa_qiqitang_bridge_r,C30混凝土,410-2-1-2,bridge,m3,0.0,351-import-v1,source_file=七秩塘桥\七秩塘桥右幅.xls; sheet=工程量清单; source_column=数量; row=33
,wa_qiqitang_bridge_r,C35混凝土,410-2-1-3,bridge,m3,675.334212550856,351-import-v1,source_file=七秩塘桥\七秩塘桥右幅.xls; sheet=工程量清单; source_column=数量; row=34
,wa_qiqitang_bridge_r,C25混凝土（镇墩）,410-2-1-1,bridge,m3,0.0,351-import-v1,source_file=七秩塘桥\七秩塘桥右幅.xls; sheet=工程量清单; source_column=数量; row=36
,wa_qiqitang_bridge_r,C35混凝土,410-2-2-3,bridge,m3,0.0,351-import-v1,source_file=七秩塘桥\七秩塘桥右幅.xls; sheet=工程量清单; source_column=数量; row=37
,wa_qiqitang_bridge_r,C50混凝土(盖梁挡块）,410-2-3-3,bridge,m3,0.0,351-import-v1,source_file=七秩塘桥\七秩塘桥右幅.xls; sheet=工程量清单; source_column=数量; row=39
,wa_qiqitang_bridge_r,C35混凝土（台帽、挡块、挡土板）,410-2-3-5,bridge,m3,8.0,351-import-v1,source_file=七秩塘桥\七秩塘桥右幅.xls; sheet=工程量清单; source_column=数量; row=40
