id,work_area_id,item_name,item_code,category,unit,planned_quantity,actual_quantity,notes
,wa_mzdq,光圆钢筋,403-1-1,bridge,kg,26186.599999999948,12569.568,starter_from_design=351-import-v1; target_quantity=26186.599999999948; sample_actual_day18=48%
,wa_mzdq,C50混凝土,410-2-5-3,bridge,m3,3237.0000000000005,712.14,starter_from_design=351-import-v1; target_quantity=3237.0000000000005; sample_actual_day18=22%
,wa_mzdq,C35混凝土,410-2-5-5,bridge,m3,99.86,21.969,starter_from_design=351-import-v1; target_quantity=99.86; sample_actual_day18=22%
,wa_mzdq,C35混凝土(柱系梁）,410-2-6-3,bridge,m3,0.0,0,starter_from_design=351-import-v1; target_quantity=0.0; sample_actual_day18=22%
,wa_mzdq,C35混凝土,410-2-7-5,bridge,m3,27.327999999999992,6.012,starter_from_design=351-import-v1; target_quantity=27.327999999999992; sample_actual_day18=22%
,wa_mzdq,C50混凝土,410-5-5,bridge,m3,1130.9400000000003,203.569,starter_from_design=351-import-v1; target_quantity=1130.9400000000003; sample_actual_day18=18%
,wa_mzdq,C35混凝土,410-6-5,bridge,m3,761.4799999999999,137.066,starter_from_design=351-import-v1; target_quantity=761.4799999999999; sample_actual_day18=18%
,wa_mzdq,C50混凝土（护栏背包砼加劲肋）,410-6-8,bridge,m3,2.4,0.432,starter_from_design=351-import-v1; target_quantity=2.4; sample_actual_day18=18%
,wa_mzdq,后张法预应力钢绞线,411-5,bridge,kg,334564.809848,53530.37,starter_from_design=351-import-v1; target_quantity=334564.809848; sample_actual_day18=16%
,wa_mzdq,C50混凝土（预制部分）,411-8-3-3,bridge,m3,6082.299999999999,851.522,starter_from_design=351-import-v1; target_quantity=6082.299999999999; sample_actual_day18=14%
,wa_mzdq,C50混凝土,411-4-8-3,bridge,m3,0.0,0,starter_from_design=351-import-v1; target_quantity=0.0; sample_actual_day18=15%
,wa_mzdq,M7.5浆砌片石,413-1-1,bridge,m3,99.0,19.8,starter_from_design=351-import-v1; target_quantity=99.0; sample_actual_day18=20%
,wa_mzdq,级配碎石换填,413-1-3,bridge,m3,693.0,138.6,starter_from_design=351-import-v1; target_quantity=693.0; sample_actual_day18=20%
,wa_mzdq,六角空心块,413-4-1,bridge,m2,0.0,0,starter_from_design=351-import-v1; target_quantity=0.0; sample_actual_day18=18%
,wa_mzdq,预埋钢材,414-1,bridge,kg,15367.38,1844.086,starter_from_design=351-import-v1; target_quantity=15367.38; sample_actual_day18=12%
,wa_mzdq,水泥混凝土桥面调平层（C50）,415-1,bridge,m3,1224.0,122.4,starter_from_design=351-import-v1; target_quantity=1224.0; sample_actual_day18=10%
,wa_mzdq,GBZJ 250×300×52mm,416-1-1,bridge,个,0.0,0,starter_from_design=351-import-v1; target_quantity=0.0; sample_actual_day18=8%
,wa_mzdq,GBZJ 250×250×41mm,416-1-2,bridge,个,0.0,0,starter_from_design=351-import-v1; target_quantity=0.0; sample_actual_day18=8%
,wa_mzdq,GPZ(2019)1.5 SX,416-2-1,bridge,个,60.0,4.8,starter_from_design=351-import-v1; target_quantity=60.0; sample_actual_day18=8%
,wa_mzdq,GPZ(2019)1.5 DX,416-2-2,bridge,个,24.0,1.92,starter_from_design=351-import-v1; target_quantity=24.0; sample_actual_day18=8%
,wa_mzdq,GPZ(2019)2.5 SX,416-2-3,bridge,个,30.0,2.4,starter_from_design=351-import-v1; target_quantity=30.0; sample_actual_day18=8%
,wa_mzdq,GPZ(2019)2.5 DX,416-2-4,bridge,个,42.0,3.36,starter_from_design=351-import-v1; target_quantity=42.0; sample_actual_day18=8%
,wa_mzdq,GPZ(2019)2.5 GD,416-2-5,bridge,个,12.0,0.96,starter_from_design=351-import-v1; target_quantity=12.0; sample_actual_day18=8%
,wa_mzdq,GPZ(2019)2.0 SX,416-2-6,bridge,个,20.0,1.6,starter_from_design=351-import-v1; target_quantity=20.0; sample_actual_day18=8%
,wa_mzdq,GPZ(2019)2.0 DX,416-2-7,bridge,个,8.0,0.64,starter_from_design=351-import-v1; target_quantity=8.0; sample_actual_day18=8%
,wa_mzdq,GPZ(2019)3.5 SX,416-2-8,bridge,个,10.0,0.8,starter_from_design=351-import-v1; target_quantity=10.0; sample_actual_day18=8%
,wa_mzdq,GPZ(2019)3.5 DX,416-2-9,bridge,个,14.0,1.12,starter_from_design=351-import-v1; target_quantity=14.0; sample_actual_day18=8%
,wa_mzdq,GPZ(2019)3.5 GD,416-2-10,bridge,个,4.0,0.32,starter_from_design=351-import-v1; target_quantity=4.0; sample_actual_day18=8%
,wa_mzdq,40型,417-5-1,bridge,m,0.0,0,starter_from_design=351-import-v1; target_quantity=0.0; sample_actual_day18=6%
,wa_mzdq,60型,417-5-2,bridge,m,0.0,0,starter_from_design=351-import-v1; target_quantity=0.0; sample_actual_day18=6%
,wa_mzdq,80型,417-5-3,bridge,m,32.1,1.926,starter_from_design=351-import-v1; target_quantity=32.1; sample_actual_day18=6%
,wa_mzdq,160型,417-5-5,bridge,m,96.30000000000001,5.778,starter_from_design=351-import-v1; target_quantity=96.30000000000001; sample_actual_day18=6%
,wa_mzdq,DN160,418-1-1,bridge,m,1170.0,58.5,starter_from_design=351-import-v1; target_quantity=1170.0; sample_actual_day18=5%
,wa_mzdq,DN200,418-1-2,bridge,m,0.0,0,starter_from_design=351-import-v1; target_quantity=0.0; sample_actual_day18=5%
,wa_mzdq,桥面边部碎石盲沟,418-2,bridge,m3,70.2,3.51,starter_from_design=351-import-v1; target_quantity=70.2; sample_actual_day18=5%
,wa_mzdq,泄水管,418-3,bridge,套,158.0,7.9,starter_from_design=351-import-v1; target_quantity=158.0; sample_actual_day18=5%
