id,work_area_id,item_name,item_code,category,unit,planned_quantity,actual_quantity,notes
,wa_zcsgg,光圆钢筋,403-1-1,bridge,kg,540.9000000000001,,starter_from_design=351-import-v1; target_quantity=540.9000000000001
,wa_zcsgg,GBZJ 250×250×41mm,416-1-2,bridge,个,0.0,,starter_from_design=351-import-v1; target_quantity=0.0
,wa_zcsgg,GPZ(2019)1.5 SX,416-2-1,bridge,个,0.0,,starter_from_design=351-import-v1; target_quantity=0.0
,wa_zcsgg,GPZ(2019)1.5 DX,416-2-2,bridge,个,0.0,,starter_from_design=351-import-v1; target_quantity=0.0
,wa_zcsgg,GPZ(2019)2.5 SX,416-2-3,bridge,个,0.0,,starter_from_design=351-import-v1; target_quantity=0.0
,wa_zcsgg,GPZ(2019)2.5 DX,416-2-4,bridge,个,0.0,,starter_from_design=351-import-v1; target_quantity=0.0
,wa_zcsgg,GPZ(2019)2.5 GD,416-2-5,bridge,个,0.0,,starter_from_design=351-import-v1; target_quantity=0.0
,wa_zcsgg,GPZ(2019)2.0 SX,416-2-6,bridge,个,0.0,,starter_from_design=351-import-v1; target_quantity=0.0
,wa_zcsgg,GPZ(2019)2.0 DX,416-2-7,bridge,个,0.0,,starter_from_design=351-import-v1; target_quantity=0.0
,wa_zcsgg,GPZ(2019)3.5 SX,416-2-8,bridge,个,0.0,,starter_from_design=351-import-v1; target_quantity=0.0
,wa_zcsgg,GPZ(2019)3.5 DX,416-2-9,bridge,个,0.0,,starter_from_design=351-import-v1; target_quantity=0.0
,wa_zcsgg,GPZ(2019)3.5 GD,416-2-10,bridge,个,0.0,,starter_from_design=351-import-v1; target_quantity=0.0
,wa_zcsgg,40型,417-5-1,bridge,m,0.0,,starter_from_design=351-import-v1; target_quantity=0.0
,wa_zcsgg,60型,417-5-2,bridge,m,0.0,,starter_from_design=351-import-v1; target_quantity=0.0
,wa_zcsgg,80型,417-5-3,bridge,m,0.0,,starter_from_design=351-import-v1; target_quantity=0.0
,wa_zcsgg,160型,417-5-5,bridge,m,0.0,,starter_from_design=351-import-v1; target_quantity=0.0
,wa_zcsgg,DN160,418-1-1,bridge,m,0.0,,starter_from_design=351-import-v1; target_quantity=0.0
,wa_zcsgg,DN200,418-1-2,bridge,m,0.0,,starter_from_design=351-import-v1; target_quantity=0.0
,wa_zcsgg,桥面边部碎石盲沟,418-2,bridge,m3,0.0,,starter_from_design=351-import-v1; target_quantity=0.0
,wa_zcsgg,泄水管,418-3,bridge,套,0.0,,starter_from_design=351-import-v1; target_quantity=0.0
,wa_zcsgg,DN1000钢管（Q235B镇静钢）,424-1,bridge,m,63.0,,starter_from_design=351-import-v1; target_quantity=63.0
,wa_zcsgg,套筒式伸缩节,424-2,bridge,套,1.0,,starter_from_design=351-import-v1; target_quantity=1.0
,wa_zcsgg,限高标志,424-3,bridge,套,1.0,,starter_from_design=351-import-v1; target_quantity=1.0
,wa_zcsgg,光圆钢筋（竖井盖板钢筋）,424-4,bridge,kg,12.33,,starter_from_design=351-import-v1; target_quantity=12.33
,wa_zcsgg,C30混凝土（竖井盖板C30混凝土）,424-5,bridge,kg,0.18,,starter_from_design=351-import-v1; target_quantity=0.18
,wa_zcsgg,C25混凝土（竖井井身镇墩，修复C25混凝土）,424-6,bridge,m3,30.26,,starter_from_design=351-import-v1; target_quantity=30.26
,wa_zcsgg,砂砾垫层,424-7,bridge,m3,32.32,,starter_from_design=351-import-v1; target_quantity=32.32
